"orgname","codedef01","mission"
"WASHINGTON ATTORNEYS WITH DISABILITIES ASSOCIATION","Arts, Culture, and Humanities","promote the meaningful inclusion of people with disabilities throughout the legal profession; to eliminate the barriers to inclusion in the legal profession experienced by people with disabilities; and aid in professional development"
"NAILSFEST INC ","Arts, Culture, and Humanities","Develop a better Vietnamese-American Nails Technicians Community to serve the local community and promote cultural diversity."
"MINORITY ENTREPRENEURS ASSOCIATION ","Arts, Culture, and Humanities","Nonprofit Association assisting minority entrepreneurs help their business ventures succeed by providing the tools needed that are sometimes not readily available."
"INDIANA JAZZ HERITAGE MUSEUM ","Arts, Culture, and Humanities","The Indiana Jazz Heritage Museum celebrates diversity and the state of Indiana contribution to Jazz as a musical genre and American art form through exhibition  education research and performance"
"RIPPLE OF HOPE FILMS INC ","Arts, Culture, and Humanities","To use visual media, primarily films and multi-media presentations, to create public awareness about issues of social justice, particularly those affecting young people. We seek to stimulate non-partisan solution oriented dialogues about those issues"
"REINE ","Arts, Culture, and Humanities","Reine's mission is to support women filmmakers to lead a culture of innovation and inclusion on both sides of the camera. Reine provides mentorship and training, in addition to resources in film development, production, exhibition, and distribution."
"GREENWICH VILLAGE FILM FESTIVAL INC ","Arts, Culture, and Humanities","The organization is organized and operated for the purpose of calling attention to social justice and economic issues in marginalized communities, advocating for cinema culture and assisting young low-budget filmmakers with resources and exposure."
"CHINESE VOICE OF GOLDEN CITY ","Arts, Culture, and Humanities","The mission is to promote Chinese traditional culture; provide multicultural diversity in radio programming via expanded informational sources, education and the arts; and bridge American mainstream and Chinese community in Las Vegas, NV."
"RADIOJUSTICE ","Arts, Culture, and Humanities","To provide media from diverse local communities to inform and empower them, and to promote and advocate for social justice"
"TALK BLACK RADIO INC ","Arts, Culture, and Humanities","Talk Black Radio Inc.'s purpose is to address, coordinate and provide education, entertainment and dialog to promote change, tolerance, increase public awareness and knowledge in minority communities both on a local and global level."
"AFRICAN AMERICAN INNER CITY PROJECT ","Arts, Culture, and Humanities","An organization formed for the purpose of furthering education and training in art,culture,and literature within the African American youth who are otherwise incapable of obtaining additional educational opportunities."
"KEEPING IT 100 LA ","Arts, Culture, and Humanities","DEBUNKING COMMON MISLEADING STEREOTYPES ABOUT BLACK MEN AND WOMEN RELATIONSHIPS THROUGH PROMOTING ENCOURAGING TRANSPARENT DIALOGUE IN AN EMOTIONALLY SAFE AND CASUAL ENVIRONMENT"
"BLACKBIRD FILM FESTIVAL ","Arts, Culture, and Humanities","Blackbird Film Festival is a media arts educational organization that organizes annual festivals to provide unknown independent filmmakers with opportunities to display their films. Rev. Rul. 75-471, 1975-2 C.B. 207."
"URBAN TACTICAL CORPORATION ","Arts, Culture, and Humanities","Providing educational assistance and programming to Families in Transition, programs celebrating diversity, and improving quality of life in urban areas served."
"ERNEST H PITT FOUNDATION ","Arts, Culture, and Humanities","To preserve and promote the legacy of the American Black Press and advance journalism and literary arts through educational programming, study, research and scholarship."
"BLACK DESIGN COLLECTIVE ","Arts, Culture, and Humanities","Our mission is to create a platform of black designers, expressing individual unique design excellence through mentorship, internship and business opportunities, bringing awareness to the world, the history, and the global impact of black design."
"UNITY AND DIVERSITY DANCE COMPANY ","Arts, Culture, and Humanities","Unity and Diversity Dance Company devoted to providing dancers of all ages an encouraging environment where they are given the opportunity to grow and excel in their dance education."
"I MATTER YOU MATTER INC ","Arts, Culture, and Humanities","To heal division, honor diversity, and promote the importance of all people with the power of music and dialogue.  Speaking to and working with young people of all ages. Giving scholarships to deserving young people.  Providing aid to the homeless."
"PROJECT TYR INC ","Arts, Culture, and Humanities","To provide blacksmithing, knifemakeing and metal working classes to veterans, and other underserved populations."
"MUSIC LENS INCORPORATED ","Arts, Culture, and Humanities","Music Lens is a free introductory summer program that introduces elementary school students to classical music. Music Lens targets its work to communities underrepresented in classical music, specifically black, Latino, and low-income families."
