"orgname","codedef01","mission"
"HEART TO HEART  AMERICAN JEWISH SOCIETY FOR DISTINGUISHED CHILDREN","Mental Health, Crisis Intervention","Providing nursing care postpartum counseling new baby clothes support groups physician evaluations crisis intervention friends families siblings medical equipment and educational materials full inclusion advocacy and representation"
"BLACK DOG HUNTING INC ","Mental Health, Crisis Intervention","Black Dog Huntings mission is to connect Veterans to the outdoors. We provide access to outdoor activities which deliver rehabilitation and an environment for counseling and mentoring with like minded veterans."
"THE MIND FIELD ","Mental Health, Crisis Intervention","To facilitate discussion within minority communities to reduce the stigma against mental illness."
"FEARLESS CO ","Mental Health, Crisis Intervention","The mission of the Fearless Co is to provide resources, create space for gatherings, and partner with social justice initiatives; that every woman may live out her potential without fear of intimidation, objectification, or violence."
"NEW VISIONS OF THE WELL INC ","Mental Health, Crisis Intervention","MISSION: CONNECT, ENGAGE, AND EMPOWER PEOPLE TO LIVE WELL IN ALL SPHERES OF HEALTH; USING CULTURALLY RELEVANT, TRAUMA INFORMED PRACTICES.  AN ALLIANCE OF INTEGRATED HEALTH PROFESSIONALS SUPPORTING WELL BEING IN URBAN AND MINORITY COMMUNITIES"
"METRO DETROIT ASSOCIATION OF BLACK PSYCHOLOGISTS","Mental Health, Crisis Intervention","promoting practice of psychology relevant to needs of black community, influencing and affecting social change of value to black psychologists and black community, working for admission and graduation of more black psychologists."
"DREAM THE IMPOSSIBLE INC ","Mental Health, Crisis Intervention",".  Dream the Impossible, Inc. is a nonprofit, mental health awareness organization that was formed to reverse the rates of death by suicide, especially in the Black community.  Through speaking engagements, youth development, and service activities,"
"INSTITUTE FOR BLACK AND AFRICAN-AMERICAN MENTAL HEALTH INC","Mental Health, Crisis Intervention","coordinated comprehensive mental health services to individuals and families that identify as black and African-American"
"SIGNED BY US INCORPORATED ","Mental Health, Crisis Intervention","Organization formed to provide free treatment services which include emotional support, problem-solving assistance, information and guidance for minority girls and women experiencing a difficult time; with a subdivision for foster care girls"
"GRACE PERIOD INC ","Mental Health, Crisis Intervention","The mission of Grace Period is to significantly improve the mental health and well-being of the minority community. Through counseling, education an advocacy; Grace Period will provide in house services as well as host community outreach initiatives."
"JUMPSTART MENTOR TRAINING ","Religion, Spiritual Development","Equipping individuals and organizations to be soul winning, disciple-making, followers of Jesus Christ through teaching, preaching, coaching, mentoring, social justice outreach ministries, and procuring space for Christian Ministry."
"KATRENE A HILLERY MINISTRIES ","Religion, Spiritual Development","Promotes change and inclusion in the lives of marginalized people. We not only preach the Gospel, but we also provide programs and education that battles crime, disease, poverty and racial injustice by way of housing, education, food and employment."
"IN BLACK AND LIGHT ","Religion, Spiritual Development","The specific purpose of In Black and Light is to share the gospel and teaching of Jesus Christ through written and verbal teaching materials for individual and group settings within the meaning of section 501(c)(3) of the Internal Revenue Code."
"FAITH VILLAGE OF GREATER LAUREL ","Religion, Spiritual Development","It will mentor youth in underserved communities (ages 10-18), start a community health campaign aimed at preventing the incidences of curable diseases (e.g.heart disease and diabetes) among minority adults, and connect families to needed resources."
"THE WITNESS INC ","Religion, Spiritual Development","The Witness is a black Christian collective using religion to further social change in the black community."
"BLACK LOTUS PEACE FOUNDATION USA ","Religion, Spiritual Development","Black Lotus Peace Foundation USA is organized and operated exclusively for charitable and educational purposes, specifically to facilitate spiritual enrichment and happiness through meditation and random acts of kindness."
"SHELDON MADDIX MINISTRIES INC ","Religion, Spiritual Development","Sheldon Maddix Ministries Inc.'s Mission is Build a gospel movement that brings personal conversion, Community formation social justice, and cultural renewal to New York City and, through it, to the World."
"MEMOIRS OF A CHRISTIAN LIFE INC ","Religion, Spiritual Development","TEACHING EMPHASIZING PERSONAL RESPONSIBILITY TO MINORITY CHILDREN LIFE CHOICES AND RESPONSIBILITY. FOSTERING A COMMUNITY OF EMPOWERMENT AND SELF RELIANCE"
"BLACK METHODISTS FOR CHURCH RENEWAL ","Religion, Spiritual Development","The mission of Black Methodists for Church Renewal is to raise up prophetic and spiritual leaders who will be advocates for the unique needs of Black people in the United Methodist Church."
"SOUL 2 SOUL ","Religion, Spiritual Development","Soul 2 Soul A Black women-led consulting firm that journeys with congregations/organizations in deepening understanding of the experiences of Black people and the realities of white supremacy in the U.S. toward liberation for all."
"MONADNOCK INTERFAITH PROJECT ","Religion, Spiritual Development","The purpose of Monadnock Interfaith Project is to build an interfaith coalition for community, understanding, and social justice without regard to religious creed, national origin, gender, sexual orientation, social station, or race."
"JEWISH STUDIES AND CULTURE CONNECTION INC","Religion, Spiritual Development","Facilitating events and projects that demonstrate the diversity of the Jewish people and their unique contributions to the world."
"RGV INTERFAITH COMMUNITY- ALL FAITHS UNITED INC","Religion, Spiritual Development","TO BUILD BRIDGES THAT FOSTER RELIGIOUS UNITY AND UNDERSTANDING AMONG FAITH TRADITIONS, EMBRACE DIVERSITY AND BRING ABOUT POSITIVE INFLUENCE ON SOCIETY"
"MW ST JOSEPHS GRAND LODGE ","Religion, Spiritual Development","The Sons of Haiti Masonic Lodge is the largest African American Lodge in Oregon. We are an organization of faith committing to supporting our Oregon community."
"INDIANA RIMS INC ","Religion, Spiritual Development","Through education and intern sponsorship programs, our mission is to foster an environment of diversity and  professionalism to nurture growth for the insurance and risk management professional."
"FINANCIAL PLANNER EDUCATION DIVERSITY EMPOWERMENT CORPORATION","Employment, Job Related","There is a need to increase diversity in the financial services industry workforce.  Students need know-how and money. FPEDEC will provide guidance and grants for certification success necessary for admission into this workplace."
"METROPOLITAN TRANSPORTATION AUTHORITY POLICE GUARDIANS ASSOCIATION","Employment, Job Related","To provide a Minority forum to address and resolve any bias, unethical or discriminatory treatment. To provide guidance to members with mentorships, networking, and training. To be role models for the Dept., our families, and Communities."
"ANYANWU GREGORY ","Employment, Job Related","The goal is designed to build competitive vocational job skills to assist the low-income ethnic minority population, especially high school dropouts and adults with no high school diploma in dealing with complex and challenging economic conditions."
"MINORITY CONTRACTOR COLLABORATION ","Employment, Job Related","MCC is a local construction industry trade assoc. representing minority company members.  Based on the merit philosophy, we help members develop people, win work & deliver work safely, ethically & profitably bettering communities in which they work."
"DIVERSITY COUNCIL OF WINNEBAGO COUNTY","Employment, Job Related","To promote a diverse pool of  candidates, suppliers, and vendors in Winnebago County, IL.  Overall to promote Diversity and Inclusion in employment practices and small business practices throughout Winnebago County, IL."
"NAAAHR GREATER NEW YORK INC ","Employment, Job Related","The National Association of African Americans in Human Resources, Greater New York (NAAAHR-GNY), a not for profit organization, exists to provide a regional forum for people in human resources of African decent and others aligned with us."
"NORTH TEXAS BUSINESS LEADERSHIP NETWORK","Employment, Job Related","To help local businesses  leverage disability inclusion in the workplace, and work towards a world in which the US business community recognizes the contributions of people with disabilities and, as a result, include them as stakeholders."
"NATIONAL ASSOCIATION OF MINORITY CONTRACTORS-NE FLORIDA CHAPTER INC","Employment, Job Related","Educate and train persons to promote welfare of minority builders, contractors, suppliers and manufacturers in the construction industry. Disseminate information and be of service for betterment in rectifying abusive conditions with high standards."
"THE WATER STREET CLUB INC ","Employment, Job Related","Our mission is to increase diversity and inclusion at all levels within the insurance industry. We focus on Collaborating with existing diversity & inclusion initiatives within the industry."
"EPSILON PI BOULE FOUNDATION ","Employment, Job Related","Epsilon Pi Boule Foundation was organized to expand education, outreach and training opportunities for at-risk African American youth, particularly young Black men."
"ROYAL BLUE SERVICES CORPORATION OFSOUTH FLORIDA INC","Crime, Legal Related","Provide successful, positive role models for young minority males in the community. Provide alternatives to self-destructive behavior and societal pitfalls. Promote/sponsor developmental programs that help them effectively deal with the challenges &"
"ROYAL BLUE SERVICES CORPORATION OF SOUTH FLORIDA INC","Crime, Legal Related","Provide successful, positive role models for young minority males in the community. Provide alternatives to self-destructive behavior and societal pitfalls. Promote/sponsor developmental programs that help them effectively deal with the challenges &"
"NOBLE HAMPTON ROADS VA ","Crime, Legal Related","The mission of the National Organization of Black Law Enforcement Executives (NOBLE), is to ensure equity in the administration of justice in the provision of public service to communities, and to serve as the conscience of law enforcement by being c"
"MIDDLE TENNESSEE LAWYERS ASSOCIATION FOR WOMEN","Crime, Legal Related","To enhance legal knowledge and skills of members, promote administration of justice and camaraderie among members, advocate for increased number of women on bench, promote diversity, monitor litigation of concern to women, engage in community service"
"ROSEMARY BRKETT APPELLATE AMERICAN INN OF COURT","Crime, Legal Related","THE INN IS DEVOTED TO EXCELLENCE IN THE TEACHING AND PRACTICE OF APPELLATE LAW; ENHANCING PROFESSIONALISM, ETHICS, CIVILITY, DIVERSITY, AND LEGAL SKILLS THROUGH MENTORING AND EXAMPLE"
"CENTER FOR YOUTH AND FAMILY ADVOCACY","Crime, Legal Related","The Center for Youth and Family Advocacy seeks to transform the fabric of youth, family, and community through reformative collaboration, education, and advocacy focused on comprehensive solutions to social justice issues."
"YES WE MUST ","Crime, Legal Related","To fully understand challenges that impact young African American males in Nashville, and assist efforts to find solutions."
"SOLIDARIEDADE NA MOKILI ","Crime, Legal Related","WE SEEK A WORLD OF WHERE EVERY HUMAN DESERVES TO LIVE IN PEACE, SECURITY AND DIGNITY. WE CREATE SOCIAL JUSTICE IN THE WORLD BY ENDING POVERTY, PROTECT THE PLANET AND GUARANTEE WELL BEING FOR WOMEN AND CHILDREN."
"CONCERTS UNITE US ","Unknown","(a) to conduct community concerts as a means of raising funds for, and to promote social justice and world peace; and

(b) to conduct concerts to raise the awareness of social injustices including veterans, children, and the homeless"
"KINDNESS SOLDIERS INC ","Unknown","Daughter started to help promote kindness and inclusion of all students no mater background and promote togetherness against bulling."
"FRIENDS OF MOSSAWA INC ","Unknown","The Friends of Mossawa Inc. is a nonprofit organization establish to raise awareness about the Arab minority of Israel in the United States. The Friends of Mossawa Inc. aim to educate the people in the United States about the Arab minority of Israel"
"NATIONAL COUNCIL OF NEGRO WOMEN   IL008 ROCKFORD SECTION","Unknown","The NCNW mission is to lead, develop, and advocate for women of African American descent as they support their families and communities.  NCNW fulfills this purpose through research, advocacy, and national and community-based services and programs."
"MAGIC WITHOUT LIMITS ORG ","Unknown","To instruct teachers on how to teach magic to special needs children to help the special needs children with dexterity, self esteem and inclusion."
"SIDEKIX ","Unknown","With inclusion at the heart of its mission, Sidekix is about creating meaningful friendships between those with and without special needs, enabling them all to learn, grow, and share together."
"NORTH TEXAS MAJESTIC DAUGHTERS EMPOWERMENT","Unknown","It is the mission, duty and purpose of North Texas Majestic Daughters Empowerment to educate and empower minority women in low income communities to make healthy decisions in all aspects of their lives."
"BUFFALO ALUMNI COLLEGE NETWORK ","Unknown","The Buffalo Alumni College Network dba BACN organizes reunions for minority students at Buffalo area colleges and universities."
"BUILDING BOOTS ","Science and Technology Research Institutes","Organized for charitable, educational, and scientific purposes to inspire and motivate females, minorities, and other underrepresented groups to pursue STEM based research and careers with the purpose of increasing the level of diversity."
"DATCODE INC ","Science and Technology Research Institutes","Our mission is to provide community, resources and support to Black and Brown people working in the tech industry and for those who are looking to start careers in tech."
"CYBERME ","Science and Technology Research Institutes","To inspire and empower minority youth on leveling then playing field in Cyber Security.  Provide Cyber Security training to kids in grades k-12."
"WEROCKIT CONF ","Science and Technology Research Institutes","The corporation is organized to host WeRockIT Conf, a technology conference promoting diversity; to promote growth of the technology community in North Alabama; and to educate conference guests."
"WE CODE TOO CHARLOTTESVILLE ","Science and Technology Research Institutes","We Code Too is an initiative to create a pipeline of Black and Brown young people to get into the technology industry via coding and programming."
"NSBE-UCF CHAPTER ","Science and Technology Research Institutes","National Mission:

To increase the number of culturally responsible Black engineers who excel academically, succeed professionally and positively impact the community."
"NATIONAL TECHNICAL ASSOCIATION HAMPTON ROADS CHAPTER","Science and Technology Research Institutes","Its purpose is to create a medium for expressing minority professional concerns for the lack of minority participation in engineering activity in America"
"KANSAS CITY CLASSICAL ARTS AND QIPAO ASSOCIATION","Public, Society Benefit","Promoting classical arts and culture, enhancing cultural and ethnic diversity, and improving members' self-esteem and self-confidence."
"CARING COUNTS ","Public, Society Benefit","To educate children and families about the importance and latest research on kindness, compassion and inclusion."
"THE CENTER FOR DIVERSITY AND COMMONGROUND","Public, Society Benefit","Our mission is to embrace our communitys diversity by discovering and creating Common Ground through service to all. To create local resilience through service projects, education, partnerships and other initiatives."
"MIAMI-DADE FAWL FOUNDATION INC ","Public, Society Benefit","Funding and administering programs that include, but are not limited to: a) Expanding and improving representation and advocacy on behalf of low-income persons, b) Expanding educational opportunities, and c) and promoting social justice."
"OREGON TOGETHER NFP ","Public, Society Benefit","THE MISSION OF OREGON TOGETHER IS TO IMPROVE THE COMMUNITY OF OREGON, IL THROUGH FOUR ACTION TEAMS: ARTS & BEAUTIFICATION; FESTIVALS, EVENTS, DINING & SHOPPING; RIVERFRONT & OUTDOOR RECREATION; AND BLACK HAWK STATUE RESTORATION."
"AWACTION NETWORK INC ","Public, Society Benefit","AwAction Network Inc  will conduct educational and knowledge sharing activities to empower minority youth and women to make informed decisions to guide economic, social, and educational outcomes"
"MASHUP NASHVILLE ","Public, Society Benefit","The nonprofit MashUp! Nashville is committed to elevating HIV prevention resource allocation through research, trainings, and evidence-based solutions that improve and strengthen the lives of African American gay and bisexual men (AAMSM) in Middle TN"
"REGION X COUNCIL OF BLACKS IN GOVERNMENT","Public, Society Benefit","The purpose of the Council is to establish, develop and implement training and personal enhancement programs/activities

, consistant with the Nat Constitution of Blacks in Gov,which will identify   help eliminate disparate tx at all levels of GOV"
"PROJECT SCARECROW ","Public, Society Benefit","Project Scarecrow is facilitating or assisting access to quality of life services for means tested income verified Oregonians that are among the states most impoverished vulnerable minority population"
"PREEMINENCE COMMUNITY DEVELOPMENT ","Public, Society Benefit","Charitable and Educational programs to assist youth at high risk, self awareness, character building, mentoring and diversity education."
"MAPPING ACTION COLLECTIVE ","Public, Society Benefit","Our mission is to utilize Geographic Information Systems to advance science, education, and promote social justice by operating a forum to support publicly accessible data and develop a framework for how GIS can be used as a tool of empowerment."
"STITCH INC ","Public, Society Benefit","Stitch Inc provides resources to Chicago neighborhoods to improve education, diversity, housing, health and security within those neighborhoods.  It may do so directly or by making distributions to other 501(c)(3) organizations."
"STRATEGIC SOCIAL SURGERY INC ","Public, Society Benefit","To foster public awareness regarding a social justice issues through advocacy, public debate, and strategic partnerships in order to target segments of the population i.e. youth, young adults, and underserved communities."
"THE BLACK COMMUNITY FOCUS FUND INC ","Public, Society Benefit","TO OFFER DIRECT FINANCIAL SUPPORT TO THE POOR AND NEEDY BLACK PEOPLE LIVING IN THE 14605 ZIP CODE NEIGHBORHOOD IN ROCHESTER NY TO ASSIST THEM WITH ADEQUATE HOUSING EMPLOYMENT SCHOOLING AND BUSINESS START UPS"
"BLACK JACK PROFESSIONAL FIREFIGHTERS COMMUNITY OUTREACH FUND","Public, Society Benefit","The Black Jack Firefighters Community Outreach Fund's mission is to raise monies through charitable donations to serve the community.  The funds raised will support charities and assist citizens in our area that have come under hard times."
"CONSCIOUS LIBATIONS ","Public, Society Benefit","Non profit organized to increase overall wellness of the black community through yoga, meditation, gardening, and cultural education as a charitable organization qualified as tax exempt under section 501(c)3."
"D VOTED LIVING INC ","Public, Society Benefit","Our mission is to provide residential housing  of disabled veterans, promoting diversity and multicultural participation in its operation and services. Ensuring that our disabled veteran residents can access to the full range of benefits available."
"DETROIT BLACK VETERANS ALLIANCE ","Public, Society Benefit","To inform the public of the lives and achievements of Detroit Black (African-American) Veterans by conducting inspiring and interactive presentations, exhibits, and events at schools, libraries, and other venues throughout Metro Detroit."
"THE NATIONAL ASSOCIATION OF BLACK MILITARY WOMEN INC","Public, Society Benefit","THE MISSION OF THE NATIONAL ASSOCIATION OF BLACK MILITARY WOMEN IS TO TELL HER STORY OF THE CONTRIBUTIONS THAT BLACK WOMEN HAVE MADE AND IS STILL MAKING IN THE UNITED STATES ARMY FORCES.

To Tell HERSTORY"
"BOOTS FOR WARRIORS FOUNDATION ","Public, Society Benefit","Dedicated to charitable and educational activities that support veterans by encouraging engagement and inclusion over isolation. Wounded veterans share their stories of service through personalized boots as a means to engage with others."
"ROBERT F GREENE-ATLANTA CHAPTER  555TH PARACHUTE INFANTRY ASSOCIATION","Public, Society Benefit","To create awareness and educate about the history of America's first Black Paratroopers known as the 55th Parachute Infantry Battalion."
"INSTITUTE OF AFFILIATED MINORITY TAX PROFESSIONALS","Public, Society Benefit","To act as a professional association to support the professional advancement and development of  minority income tax preparation professionals."
"MINORITY VETERANS OF AMERICA ","Public, Society Benefit","Minority Veterans of America (MVA) builds inclusive community around underrepresented veterans, reflecting the diversity of the military community. MVA organizes around serving veterans who are LGBTQ+, womxn, people of color, and religious minorities"
"EQUALITY COLLECTIVE INC ","Public, Society Benefit","To introduce and activate projects that address obstacles to inclusion and equality."
"WITS END ","Public, Society Benefit","The charitable purposes for which this corporation is formed are: to work in partnership w/groups to further cultural diversity goals, educational access, service to regional travelers & care of recreational wilderness for local & general communities"
"BLACK SPACE OKLAHOMA INC ","Public, Society Benefit","Through our planning goals and objectives we plan to both strategically and tangibly extend the world of planning, architecture, design, and community organizing work to local, Black communities."
"100 MEN OF SHREVEPORT ","Public, Society Benefit","Touching the lives of youth from low/moderate income families, accomplished through a monthly mentoring program. Members involved in this program were successful men willing to join together to expose young black males to positive influences."
"THINK DIFFERENTLY FOUNDATION INC ","Public, Society Benefit","The promotion of public awareness and education regarding inclusion and acceptance for individuals of all abilities."
"NATURAL PARENTING TALK ","Public, Society Benefit","Our mission is to promote natural parenting and advocate for breastfeeding and healthy childbirth, particularly within the Black community."
"SOCIAL JUSTICE TOURS ","Public, Society Benefit","Social Justice Tours aims to use tours as a medium to engage New Yorkers in critical dialogue about histories of justice and equity in our surroundings."
"SOUTHERN 30 EEDEC ","Public, Society Benefit","TO PROMOTE AND STIMULATE EFFECTIVE HUMAN RESOURCES, EQUITY AND DIVERSITY PROGRAMS, POLICIES AND PROCEDURES IN THE SOUTHERN CALIFORNIA COMMUNITY COLLEGES BY OFFERING TRAINING AND HOSTING COLLEGIAL NETWORKING. ADVISE COLLEGE ADMINISTRATORS."
"ZERO HATE ORGANIZATION ","Public, Society Benefit","Educate community on diversity and tolerance towards minorities via training & public marketing."
"AFRICAN CIVIC LEADERSHIP PROGRAM LTD","Public, Society Benefit","ACLP creates a platform for young leaders and community activists to exchange innovative ideas, approaches, and best practices to address the most pertinent social justice issues in Africa."
"UNTAPPED ARIZONA INC ","Public, Society Benefit","Untapped Arizona, an affiliate of DisabilityIN, promotes disability inclusion by increasing awareness and sharing proven strategies with business leaders for including people with disabilities in the workplace, supply chain, and marketplace."
"RESEAU DOCTEUR INC ","Public, Society Benefit","Providing support services and educational resources for minority students and professionals to help them attain PH.D.s and other highest level advanced degrees."
"ASIAN AMERICAN RIGHTS ASSOCIATION ","Public, Society Benefit","Increase the knowledge of its members and the public about civil rights and political process. Do policy analysis about local and national laws and events, which is freely accessible to the public."
"FAST BLACKFEET ","Agriculture, Food, Nutrition","FAST Blackfeet is an organization supporting community strengths, culture and wellness by developing local, sustainable systems that provide healthy food access and nutritional education for all who need it within the Blackfeet Nation boundaries."
"SANKOFA VILLAGE PROJECTS INC ","Agriculture, Food, Nutrition","To eradicate food apartheid in the black community through programs at a community farm focused on teaching people of all age how to grow fresh produce and develop healthy eating habits."
"COOK HEALTHY EAT FRESH ","Agriculture, Food, Nutrition","To educate youth and families about nutrition awareness, agriculture, cuisine diversity, basic culinary skill, dining etiquette, and the skill set to become future culinary enthusiast."
"MISFIT TOYS CAR CLUB ","Disease, Disorders, Medical Disciplines","To advocate awareness, understanding, acceptance & inclusion of individuals with ASD and other special needs.  Organizing fundraising events and activities that provide a safe place to gather and experience the automotive world with other car enthusi"
"KENYA AUTISM ALLIANCE CORPORATION ","Disease, Disorders, Medical Disciplines","To provide awareness, acceptance, and inclusion services for families in Kenya with autism. Specifically providing support and training for family members and children."
"FOUNDATIONS FOR DIVERGENT MINDS ","Disease, Disorders, Medical Disciplines","Foundations for Divergent Minds provides education, training and community support to parents and practitioners working with autistic children in a Neurodiversity-aligned support model."
"PROACTIVE LIVING FACILITY INC ","Disease, Disorders, Medical Disciplines","TO PROVIDE A LIVING FACILITY FOR ADULTS WITH AUTISM AND OTHER DEVELOPMENTAL DISABILITIES, TO PROVIDE INTEGRATION POSSIBILITIES FOR INCLUSION INTO THE COMMUNITY AND FOR DEVELOPMENT OF LIFE SKILLS."
"RALEIGH-WAKE COUNCIL OF THE BLIND ","Disease, Disorders, Medical Disciplines","Works to promote the inclusion of visually-impaired citizens in community life through advocacy, education, transportation, employment, and recreation."
"SISTERS NETWORK ORLANDO CHAPTER INC ","Disease, Disorders, Medical Disciplines","SISTERS NETWORK ORLANDO CHAPTER INC is committed to increasing local and national attention to the devastating impact breast cancer has in the African American Community. Our mission is to instill hope, provide support, education, and inspiration."
"THE GUIDE PROJECT INC ","Disease, Disorders, Medical Disciplines","Our mission is to find and create opportunities for inclusion for people with disabilities and their families by sponsoring, hosting, or developing quality-of-life-enriching activities, programs, special events, and/or camps."
"THE YELLOW OUT CAMPAIGN ","Disease, Disorders, Medical Disciplines","Raise awareness for Spina Bifida, encourage inclusion, be a platform to provide a place to start the conversation surrounding disabilities, contribute to handicap accessible playgrounds and ramps, sponsoring workshops for those with special needs."
"CURE VCP DISEASE INC ","Disease, Disorders, Medical Disciplines","Cure VCP Disease aims to cure diseases related to mutations of the Valosin Containing Protein gene. This includes the disease Inclusion Body Myopathy associated with Pagets disease of bone and Frontotemporal Dementia i.e. IBMPFD."
"ALZHEIMERS CONVERSATION PROJECT INC ","Disease, Disorders, Medical Disciplines","Our mission is to improve access of Alzheimer's disease education and programs for under served individuals and families with a focus on minority,  culturally, ethnically diverse and rural communities. Most of our activities will focus on education"
"CONDUC INC ","Disease, Disorders, Medical Disciplines","Create a database of African American patients and comparative groups to study incidence and mortality rates; develop strategies to address risk factors, prevention, treatments, outcomes, survivorship, and quality of life."
"AFRICAN UNITED FOUNDATION INC ","International, Foreign Affairs, and National Security","Our main purpose is to introduce more diversity, cultural and health awareness in the community as well as bring Africans and Americans in the State of Ohio and the STATE in general together. Also, to reach out to third world countries that are in di"
"HACCOF FOUNDATION INC ","International, Foreign Affairs, and National Security","HACCOF FOUNDATION VISION IS FOCUSED ON PROSPERITY INCLUSION AND TECHNICAL ASSISTANCE TO SAMLL BUSINESSES, PROFESSIONAL DEVELOPMENT, STUDENT LEARNING, INNOVATION AND COLLABORATION."
"AFRICAN AMERICAN BUSINESS FOUNDATION INC","International, Foreign Affairs, and National Security","To provide for the religious and social development of all people, but especially promote the development of resources which will enhance African Americans both in the Americas and around the world. To develop various resources in conjunction with bu"
"BRIDGING LINKS ","International, Foreign Affairs, and National Security","We will engage in educational activities investing in cultural diversity to ultimately bring about Socioeconomic development through small projects. This activity will be in the USA and also in Afghanistan to promote women empowerment."
"WE-AMRA INC ","International, Foreign Affairs, and National Security","Bringing musical, artistic, and cultural diversity to the community and beyond through educational events, programs and initiatives aimed at children and adults."
"JAHMEKYA PROJECT INC ","International, Foreign Affairs, and National Security","-builds community partnerships through social and cultural inclusion -creates collaborative knowledge exchange -provides opportunities for helping professionals to gain knowledge about diversity of social service provision in Jamaica"
"MFOMBO FOUNDATION ","International, Foreign Affairs, and National Security","Engaging forest adjacent communities in the western Cameroon highlands to restore and protect bio-cultural diversity through research, training, education and capacity building to improve livelihood and reduce environmental degradation."
"HELPING IMMIGRANTS STAY PROJECT ","International, Foreign Affairs, and National Security","Promoting the civil rights and liberties of poor and under privileged immigrants, by providing low cost psychological evaluations to immigrants facing deportation and immigration hearings who could not otherwise afford such services."
"CENTER FOR AFRICAN AMERICAN HEALTHDISPARITIES EDUCATION AND  RESEARCH","Medical Research","The purpose of the Center for African American Health Disparities Education and Research is to conduct education classes and research on health disparities that affect African Americans. We seek to eradicate urban inequities across the lifespan."
"CENTER FOR AFRICAN AMERICAN HEALTH DISPARITIES EDUCATION AND  RESEARCH","Medical Research","The purpose of the Center for African American Health Disparities Education and Research is to conduct education classes and research on health disparities that affect African Americans. We seek to eradicate urban inequities across the lifespan."
"NSBE PROFESSIONAL BATON ROUGE ","Mutual/Membership Benefit Organizations, Other","To increase the number of culturally responsible Black engineers who excel academically, succeed professionally and positively impact the community."
"GREEN GROVE COMMUNITY OUTREACH ","Mutual/Membership Benefit Organizations, Other","GREEN GROVE COMMUNITY OUTREACH IS A COMMUNITY BASED NON-PROFIT ORGANIZATION THAT WORKS TO ACHIEVE GREATER STABILITY, DIVERSITY AND TO FOSTER ECONOMIC, EDUCATIONAL AND CULTURAL DEVELOPMENT BY PROGRAMS THAT ENHANCE THE LIVES OF LOW INCOME RESIDENTS."
"MISSISSIPPI MOTIVATING ORGANIZING FOR VOTER EMPOWERMENT","Civil Rights, Social Action, Advocacy","MS M.O.V.E. is a civic engagement organization using community organizing to bring positive change to oppressed and impoverished communities through direct action, social justice and health advocacy, and youth and community leadership development."
"SOUTH GEORGIA VOTERS LEAGUE INC ","Civil Rights, Social Action, Advocacy","The corporation s purpose includes providing organizational capacity building assistance to groups and individuals in marginalized communities and conducting research and disseminating educational materials related to racial equity and social growth."
"WHITE RIBBON USA ","Civil Rights, Social Action, Advocacy","We  support women and minority issues through aid and education."
"BACKYARD BANDITS ","Civil Rights, Social Action, Advocacy","Social Justice activities including education, animal rights, health, environmental, and caring for the homeless"
"PELTIER JUSTICE ","Civil Rights, Social Action, Advocacy","Social justice."
"AMERICANS RESISTING MINORITY  ETHNIC DISCRIMINATION INC","Civil Rights, Social Action, Advocacy","To protect and promote the broad civil rights of groups and civil liberties of individuals through social action and advocacy. To protect civil rights for all Americans, by publicly advancing a constitutional understanding."
"GREATER SACRAMENTO CHAPTER OF FREEDOM FROM RELIGION FOUNDATION","Civil Rights, Social Action, Advocacy","To educate the public about and promote nontheism (incl elimination of prejudice and discrimination), defend constitutional separation between religion and government (incl defense of human/civil rights), other related educational/charitable activity"
"4WARD INCLUSION CONSULTING INC ","Civil Rights, Social Action, Advocacy","4ward Inclusion Consulting, Inc. creates curriculum and facilitates workshops that respond to oppressive systems, values and beliefs that prevent individuals from becoming leaders in their communities."
"YAN FOUNDATION ","Civil Rights, Social Action, Advocacy","The YAN Foundation is a social justice organization committed to ending senseless gun violence through advocacy, restorative justice and community engagement."
"NOTHING LESS INC ","Civil Rights, Social Action, Advocacy","Educate public in the history, purpose and provisions of the Americans with Disabilities Act as a civil rights guarantee; compile related education, information resources to disseminate online, through public presentaitons, forums, trainings, confs"
"DIVERSIFYING TECH ADVISORY COUNCIL ","Civil Rights, Social Action, Advocacy","The mission of the Corporation is to engage and educate thought leaders, policy makers, and the public to generate awareness about diversity issues in tech industries and highlight innovative solutions for diversifying the tech industry."
"TOGOLESE CIVIL LEAGUE ","Civil Rights, Social Action, Advocacy","- Promote democratic values in Togo - Support civic engagement, through education, practice - Uphold the rule of law by supporting civil rights and providing technical support to the legal community - Assist in the creation of a vibrant civil soc"
"AMERICAN JUSTICE CORPS ","Civil Rights, Social Action, Advocacy","Our mission is to provide social justice, and equality in all forms to all individuals in the local and national communities. This includes but is not limited to providing opportunities professionally and academically for young students."
"IN THE INTEREST OF JUSTICE ","Civil Rights, Social Action, Advocacy","To support unpaid interns interested in public service and social justice"
"SNOHOMISH FOR EQUITY ","Civil Rights, Social Action, Advocacy","The mission of SFE is to create dialogue and awareness around issues of racism in Snohomish. Our purpose is to engage our community and provide educational opportunities that promote an understanding of diversity, inclusion, and equity."
"LEAGUE AGAINST RELIGIOUS INTOLERANCE INC","Civil Rights, Social Action, Advocacy","The organization will publish a website promoting religious tolerance and exposing religious intolerance, oppression, and persecution. It will also offer advocacy and legal support for minority religions and their practitioners who face persecution."
